"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Captone,project,2024-02-12,2024-05-24,0,0,0,,,,,
1.1,"Energy System",group,,,0,0,0,,,,,
1.2,Management,group,2024-02-12,2024-02-19,0,0,0,,,,,
1.2.1,"Solar Energy LCOE Calculations",task,2024-02-12,2024-02-19,0,0,0,,,,,blue2
1.2.2,"Solar Investment Cost",task,2024-02-12,2024-02-19,0,0,0,,,,,blue2
1.2.3,"Total Process Cost",task,2024-02-12,2024-02-19,0,0,0,,,,,blue2
1.3,"Software Engineering ",group,2024-02-12,2024-05-24,0,0,0,,,,,
1.3.1,"Design homepage",subgroup,2024-02-12,2024-02-19,0,0,0,,,,,
1.3.1.1,"Design Login page - Bashar",task,2024-02-12,2024-02-19,0,0,0,Bashar,,,,blue2
1.3.1.2,"Design Login page - Osama",task,2024-02-12,2024-02-19,0,0,0,Osama,,,,blue2
1.3.2,"Design About us page - Osama",task,2024-03-08,2024-03-15,0,0,0,Osama,,,,blue2
1.3.3,"Design homepage - Bashar",task,2024-02-21,2024-03-07,0,0,0,"Bashar, Osama",1.3.1.1,,,blue2
1.3.4,"Design solution form page -Bashar",task,2024-03-08,2024-03-15,0,0,0,Bashar,,,,blue2
1.3.5,"Link Page with Each other",task,2024-03-18,2024-03-29,0,0,0,"Bashar, Osama","1.3.2,1.3.4",,,blue2
1.3.6,"Implement the database",task,2024-02-12,2024-02-29,0,0,0,Yaser,,,,blue2
1.3.7,"Create back-end Endpoint",task,2024-03-01,2024-03-13,0,0,0,Yaser,,,,blue2
1.3.8,"Implement Authentication",task,2024-03-14,2024-03-28,0,0,0,Yaser,,,,blue2
1.3.9,"Integrate Back-end and front-end",task,2024-03-29,2024-04-15,0,0,0,"Bashar, Osama, Yaser",,,,blue2
1.3.10,"Implement Cost and carbon foot print calculations",task,2024-04-16,2024-05-03,0,0,0,"Bashar, Osama, Yaser",,,,blue2
1.3.11,"Prepare The Report",task,2024-05-04,2024-05-24,0,0,0,"Bashar, Osama, Yaser",,,,blue2
